target__Brand,target__Model Name,target__Model Variant,target__State,onehot__Fuel Type_CNG,onehot__Fuel Type_Diesel,onehot__Fuel Type_Electric,onehot__Fuel Type_Hybrid,onehot__Fuel Type_Petrol,onehot__Car Type_Hatchback,onehot__Car Type_Luxury,onehot__Car Type_MPV,onehot__Car Type_SUV,onehot__Car Type_Sedan,remainder__Transmission,remainder__Kilometers,remainder__Owner,remainder__Accidental,remainder__Car_Age,remainder__KM_Per_Year,Price
746559.975676863,624623.1948599116,733484.4581505527,786930.1235030624,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,119069.0,1.0,0.0,6.0,19844.833333333332,1320000
764426.4873171007,864829.5909442725,733484.4581505527,670949.5721925134,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22268.0,1.0,0.0,4.0,5567.0,1396500
746559.975676863,749463.0834541313,704796.919177924,790990.6950462351,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,145608.0,1.0,0.0,9.0,16178.666666666666,554400
689419.0547388176,725301.8996302165,721717.0078835658,673301.6104014599,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,112145.0,2.0,0.0,13.0,8626.538461538461,432441
746559.975676863,627695.876446281,786981.3162724135,790990.6950462351,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,129376.0,2.0,0.0,15.0,8625.066666666668,431244
746559.975676863,627695.876446281,786981.3162724135,786447.1460264133,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,165845.0,1.0,0.0,6.0,27640.833333333332,1158300
746559.975676863,646662.8232680267,728398.4393333333,790990.6950462351,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,72407.0,1.0,0.0,11.0,6582.454545454545,763686
689419.0547388176,725301.8996302165,722604.9296482413,673301.6104014599,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,49996.0,1.0,0.0,11.0,4545.090909090909,1250865
746559.975676863,631464.8915864378,704796.919177924,692233.117397454,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,92394.0,2.0,0.0,17.0,5434.941176470588,642089
689419.0547388176,642454.9748717949,672828.990625,674454.7036697248,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,42437.0,1.0,0.0,13.0,3264.3846153846152,744562
788791.4864026718,738677.4802867384,786981.3162724135,670949.5721925134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,39483.0,2.0,0.0,8.0,4935.375,1061786
679904.8680057388,729526.6053149606,690251.9785100287,786018.2263636363,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,175054.0,2.0,0.0,10.0,17505.4,266805
689419.0547388176,879581.9777662875,722604.9296482413,791383.7519434988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,117071.0,1.0,0.0,9.0,13007.888888888889,727650
881158.8852459016,779295.2037037037,881216.8346581876,790990.6950462351,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77567.0,2.0,0.0,4.0,19391.75,1591682
746559.975676863,749463.0834541313,728398.4393333333,671239.6209150327,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12100.0,1.0,0.0,13.0,930.7692307692307,679250
757158.1782758621,713213.7829131653,735638.0895008605,670949.5721925134,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,129944.0,1.0,0.0,7.0,18563.428571428572,947625
