PC1,PC2,PC3,iso_anomaly,lof_anomaly,dbscan_anomaly,vote_count,consensus_anomaly,fraud_score
-0.13439170062085407,-1.7381010615211065,0.8453349957689424,0,0,0,0,0,0
0.8706189388904582,-1.788380344375159,-1.7021626713935427,0,0,0,0,0,0
-0.06150551637067035,1.1558448345476338,0.617698847397677,0,0,0,0,0,0
-1.9177818069103727,1.1167440360067222,0.5424710776906511,0,0,0,0,0,0
-1.188579161119501,1.178697737496661,0.4182027927818958,0,0,0,0,0,0
0.48918747852492417,1.1545955627699227,1.7323782811791242,0,0,0,0,0,0
-1.4267389284688727,1.1390268776039252,-0.5920900983581147,0,0,0,0,0,0
-1.6476896871054592,1.132243003443305,-0.8301326787904882,0,0,0,0,0,0
-2.4329483207367746,1.1342751128250272,-0.08192909607513155,0,0,0,0,0,0
-2.4386032792449455,1.1108966645484069,-0.8380531367244644,0,0,0,0,0,0
0.2528640487529461,1.1198154218770153,-1.4186961399137463,0,1,0,1,0,0
-0.5844399813542013,1.0688958032436569,1.7285891381201905,0,0,0,0,0,0
0.369370458652427,-1.8056906885478323,0.14344202465302958,0,0,0,0,0,0
2.3509634350343886,-1.74797692152419,-0.7489238953402344,0,0,0,0,0,0
-0.9145637077846743,-1.7194820406571953,-2.1934597952467705,0,0,0,0,0,0
-0.30988917690609874,-1.7968599937284286,0.7842008674282533,0,0,0,0,0,0
1.1193227144107452,1.1614775821831995,1.3525894301429686,0,0,0,0,0,0
0.9865305267922417,1.1369267728991403,3.17413642740593,0,0,0,0,0,0
-1.5743157415593605,-1.7482484104502878,-1.1874575261703748,0,0,0,0,0,0
-0.2287227925774874,1.0468101564969348,2.2199879450314333,0,0,0,0,0,0
0.5330528925558972,-1.7182465034262073,-1.3722996909175253,0,0,0,0,0,0
-0.6104520597665644,1.1800494147349057,-0.6467075112405527,0,0,0,0,0,0
-0.23931266420806038,-1.8048635717001291,-0.10088092960380096,0,0,0,0,0,0
